epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,6398.53,1.21267,0.76628,1.27595,0.86198,0.82323,0.89652,0.60045,1.2166,0.69019,1.33729,0.0005348,0.0005348,0.0005348
76,6483.42,1.21861,0.78098,1.27526,0.85208,0.84026,0.89886,0.6029,1.19374,0.67841,1.33649,0.000515,0.000515,0.000515
77,6568.77,1.20096,0.75099,1.27045,0.84284,0.84091,0.89717,0.60696,1.18664,0.68879,1.32273,0.0004952,0.0004952,0.0004952
78,6653.85,1.18843,0.74001,1.26,0.86562,0.83657,0.90248,0.60474,1.19811,0.6717,1.33361,0.0004754,0.0004754,0.0004754
79,6738.74,1.18131,0.74042,1.26597,0.87169,0.81753,0.89485,0.59504,1.22884,0.6943,1.34582,0.0004556,0.0004556,0.0004556
80,6823.58,1.18294,0.7373,1.25976,0.84828,0.8461,0.89443,0.60155,1.21764,0.68764,1.33899,0.0004358,0.0004358,0.0004358
81,6908.53,1.17646,0.73169,1.24665,0.85739,0.83831,0.89843,0.60716,1.20221,0.65963,1.33654,0.000416,0.000416,0.000416
82,6993.67,1.15388,0.7146,1.24125,0.86229,0.83052,0.89522,0.60569,1.19848,0.676,1.32977,0.0003962,0.0003962,0.0003962
83,7078.56,1.17393,0.71954,1.24427,0.86874,0.82942,0.90048,0.6067,1.1914,0.67269,1.32482,0.0003764,0.0003764,0.0003764
84,7163.51,1.1583,0.71256,1.23734,0.85902,0.84277,0.90374,0.61249,1.19903,0.65788,1.32432,0.0003566,0.0003566,0.0003566
85,7248.81,1.14729,0.70714,1.22997,0.84898,0.85419,0.90201,0.60971,1.18936,0.67577,1.30878,0.0003368,0.0003368,0.0003368
86,7333.73,1.14756,0.7123,1.23557,0.84853,0.85649,0.90373,0.60541,1.2041,0.66618,1.33163,0.000317,0.000317,0.000317
87,7418.72,1.12846,0.69222,1.21577,0.86355,0.83571,0.90148,0.60962,1.18303,0.66231,1.31477,0.0002972,0.0002972,0.0002972
88,7503.65,1.13906,0.69643,1.22726,0.86359,0.84276,0.90017,0.6112,1.18168,0.67816,1.31286,0.0002774,0.0002774,0.0002774
89,7588.67,1.11796,0.6814,1.21801,0.86614,0.83117,0.89464,0.6073,1.18216,0.69635,1.30745,0.0002576,0.0002576,0.0002576
90,7673.53,1.11445,0.68356,1.22154,0.86424,0.83896,0.89844,0.6002,1.21269,0.6678,1.32768,0.0002378,0.0002378,0.0002378
91,7759.03,1.09777,0.62269,1.2292,0.86889,0.82857,0.89481,0.60146,1.20591,0.66934,1.32965,0.000218,0.000218,0.000218
92,7843.79,1.0869,0.60476,1.2174,0.86457,0.82907,0.89884,0.60816,1.19526,0.67002,1.33387,0.0001982,0.0001982,0.0001982
93,7928.42,1.07619,0.59606,1.21806,0.86089,0.83183,0.89651,0.61135,1.18005,0.67714,1.3234,0.0001784,0.0001784,0.0001784
94,8013.12,1.06083,0.58878,1.20227,0.86214,0.84675,0.90368,0.61524,1.19007,0.66638,1.32571,0.0001586,0.0001586,0.0001586
95,8097.98,1.06036,0.58392,1.19854,0.85983,0.84221,0.90115,0.60987,1.18836,0.67816,1.33027,0.0001388,0.0001388,0.0001388
96,8182.64,1.0607,0.58552,1.2037,0.86014,0.84264,0.90174,0.60326,1.19996,0.66431,1.33415,0.000119,0.000119,0.000119
97,8267.28,1.03846,0.5726,1.19349,0.87295,0.84156,0.90393,0.60943,1.18382,0.66376,1.3249,9.92e-05,9.92e-05,9.92e-05
98,8351.94,1.03114,0.57061,1.1884,0.86614,0.83701,0.90243,0.61465,1.17775,0.66424,1.32949,7.94e-05,7.94e-05,7.94e-05
99,8436.48,1.03674,0.5667,1.18861,0.87117,0.83433,0.90034,0.61052,1.18654,0.66494,1.32827,5.96e-05,5.96e-05,5.96e-05
100,8521.08,1.03038,0.56989,1.19376,0.86936,0.83896,0.90196,0.61231,1.18139,0.66142,1.32478,3.98e-05,3.98e-05,3.98e-05
